,ETF,CAGR,변동성,샤프지수,코드,테마
0,TIGER 미국테크TOP10 INDXX,0.28478918631840533,0.24408259362652213,1.1667738452262169,381170,빅테크
1,TIGER 차이나전기차SOLACTIVE,-0.022266643207029313,0.33599090545753124,-0.06627156522795759,371460,차세대모빌리티
2,KODEX 2차전지산업,0.056754560790570174,0.3594434099678833,0.1578956776412767,305720,2차전지(배터리)
3,TIGER 2차전지테마,0.08938984263806127,0.3704999145592648,0.24126818691549945,305540,2차전지(배터리)
4,ACE 테슬라밸류체인액티브,0.4719441657289083,0.4794625362064948,0.9843191700918452,457480,차세대모빌리티
5,TIGER 차이나항셍테크,-0.07776380816018102,0.3598474540480258,-0.21610214907843295,371160,빅테크
6,KODEX 미국빅테크10(H),0.3017415841638469,0.29847925045834667,1.0109298509041769,314250,빅테크
7,ACE 미국빅테크TOP7 Plus,0.6049707528910733,0.25352226860494564,2.3862627777040633,465580,빅테크
8,TIGER 2차전지소재Fn,-0.43776946201772104,0.5257614574168227,-0.8326389388993538,462010,2차전지(배터리)
9,TIGER 2차전지TOP10,-0.03835601922615861,0.3838033934798255,-0.099936633906221,364980,2차전지(배터리)
10,TIGER 글로벌자율주행&전기차SOLACTIVE,0.03628183571186305,0.23153004819701645,0.15670465235246553,394660,차세대모빌리티
11,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),-0.1064723116076457,0.25150370464106536,-0.4233429156027667,394670,2차전지(배터리)
12,TIMEFOLIO 글로벌AI인공지능액티브,0.8236818403255082,0.2886465178832535,2.8536004742612415,456600,로보틱스 & AI
13,KODEX 미국AI전력핵심인프라,0.7600035198199939,0.4097775942611652,1.8546731945905706,487230,로보틱스 & AI
14,TIGER 미국테크TOP10 INDXX(H),0.552924790495303,0.25436686993189583,2.1737295845301827,472160,빅테크
15,KODEX 차이나항셍테크,-0.0777626234213673,0.3552958669629515,-0.21886723334576816,372330,빅테크
16,KODEX AI전력핵심설비,-0.29092046297679686,0.5552078350421374,-0.5239847938289947,487240,로보틱스 & AI
17,KODEX 2차전지산업레버리지,-0.7498038376455443,0.9201181308700965,-0.8148995357112494,462330,2차전지(배터리)
18,TIGER 글로벌AI액티브,0.6943201432974639,0.31590118751293006,2.197902922631606,466950,로보틱스 & AI
19,TIGER 인도빌리언컨슈머,0.12329390884627145,0.18053093603530826,0.6829516954487934,479730,내수소비
20,TIGER 글로벌혁신블루칩TOP10,0.45421438094298106,0.20270435303266698,2.240772702447992,464930,빅테크
21,TIGER BBIG,-0.1184174245570998,0.23437406434291905,-0.5052496951362334,364960,뉴딜
22,TIGER 글로벌온디바이스AI,0.1390166093239258,0.3242549315320661,0.42872627616514203,480310,로보틱스 & AI
23,RISE 2차전지액티브,-0.14522498029403996,0.36758759314067596,-0.3950758485977036,422420,2차전지(배터리)
24,KODEX 2차전지핵심소재10,-0.4561088328147097,0.5435496839729362,-0.8391299751678629,461950,2차전지(배터리)
25,SOL 2차전지소부장Fn,-0.3702899267302425,0.469264014671425,-0.7890865592783982,455860,2차전지(배터리)
26,TIGER 미국AI빅테크10,0.8816365864744087,0.21373149879075573,4.124972647749669,490090,로보틱스 & AI
27,SOL 미국테크TOP10,0.6466181953343924,0.27532671989674934,2.348548646411367,481190,빅테크
28,TIGER 글로벌4차산업혁신기술(합성 H),0.0789963145204986,0.20128106654377492,0.3924676864891232,275980,로보틱스 & AI
29,SOL 미국AI소프트웨어,0.731918792687722,0.2651746695513068,2.7601384171654755,481180,로보틱스 & AI
30,TIGER 글로벌메타버스액티브,0.05540394545771732,0.25025490762695063,0.221390045786062,412770,메타버스
31,KODEX K-메타버스액티브,-0.126255321544833,0.2631529376714363,-0.47977925939960825,401470,메타버스
32,SOL 미국AI전력인프라,1.077120596948626,0.36894654648134073,2.9194489207750336,486450,로보틱스 & AI
33,TIGER 여행레저,-0.046854553699741563,0.26338285924370464,-0.177895227632819,228800,게임&엔터&스포츠
34,RISE 2차전지TOP10인버스(합성),0.4535696715401796,0.4754246432825739,0.9540306291413578,465350,2차전지(배터리)
35,KODEX K-로봇액티브,0.08017534864275877,0.23815167444333474,0.3366566656739401,445290,로보틱스 & AI
36,TIGER Fn메타버스,-0.11961724041939858,0.27814719709995295,-0.43005013772047396,400970,메타버스
37,ACE 미국빅테크TOP7 Plus레버리지(합성),1.3305040304484708,0.5129786421215599,2.593683091650399,465610,빅테크
38,KODEX 미국AI테크TOP10,0.3905867870831834,0.32444265468645195,1.2038700258468003,485540,로보틱스 & AI
39,TIGER 중국소비테마,0.011470111574160224,0.1950247454346841,0.05881362156681645,150460,내수소비
40,TIGER 2차전지TOP10레버리지,-0.4687434877881276,0.8020917189869915,-0.5844013554710814,412570,2차전지(배터리)
41,ACE G2전기차&자율주행액티브,0.05303145484736138,0.2635884096713204,0.20119038964379563,414270,2차전지(배터리)
42,HANARO Fn K-POP&미디어,-0.09219070844317834,0.3198250436510725,-0.288253563231771,395290,게임&엔터&스포츠
43,KODEX 미국메타버스나스닥액티브,0.15496725934244715,0.27566400132859675,0.5621599432481691,411420,메타버스
44,ACE 마이크로소프트밸류체인액티브,0.5633191064408034,0.2835808135444994,1.9864499977972156,483330,로보틱스 & AI
45,ACE 인도컨슈머파워액티브,0.285890747254933,0.20362026522939242,1.404038772530117,487910,내수소비
46,TIGER 차이나전기차레버리지(합성),-0.24618984197744076,0.5460764117022301,-0.4508340530769631,456680,차세대모빌리티
47,HANARO CAPEX설비투자iSelect,0.16296299570988593,0.3103333195619884,0.5251224584582012,454320,설비투자
48,HANARO e커머스,0.008065399193718292,0.21978608976566683,0.03669658622307499,322400,E커머스
49,ACE 구글밸류체인액티브,0.1824092268572457,0.3326301255488981,0.5483845654576189,483340,클라우드컴퓨팅
50,HANARO 원자력iSelect,0.20512249586271514,0.30607398361443977,0.6701729217243997,434730,친환경에너지
51,HANARO Fn조선해운,0.18844701243097473,0.31370837161517307,0.6007076300218829,441540,조선
52,RISE 버크셔포트폴리오TOP10,0.41995012643862584,0.15554407900220246,2.699878575465926,475350,글로벌자산
53,KOSEF 글로벌AI반도체,0.6265354033032378,0.3798917533602484,1.649247180970257,473490,로보틱스 & AI
54,RISE AI&로봇,-0.1660518827632551,0.3505067353534058,-0.4737480510776199,469070,로보틱스 & AI
55,KODEX K-신재생에너지액티브,0.13981706568258834,0.29533480824962044,0.4734188513411305,385510,친환경에너지
56,TIGER 글로벌클라우드컴퓨팅INDXX,0.06947956009808776,0.2671485006230802,0.2600784205639861,371450,클라우드컴퓨팅
57,TIGER 글로벌AI인프라액티브,2.554801715903722,0.27544834387416833,9.275066533240146,491010,로보틱스 & AI
58,RISE 2차전지TOP10,-0.4347159616468951,0.5116596030320298,-0.8496194717558773,465330,2차전지(배터리)
59,KODEX 미국테크1조달러기업포커스,1.4848356756286334,0.21299394124933996,6.971257806297975,491090,빅테크
60,HANARO Fn K-뉴딜디지털플러스,-0.0794770653027852,0.24451412476853843,-0.3250407941791488,368190,뉴딜
61,KoAct 글로벌AI&로봇액티브,0.4741683123833602,0.2773555858521201,1.7096043367093976,471040,로보틱스 & AI
62,RISE 게임테마,-0.013267773197452093,0.2919920421724868,-0.04543881777988489,300640,게임&엔터&스포츠
63,TIGER 차이나항셍테크레버리지(합성 H),-0.12944968917242816,0.7294744035865212,-0.17745610885862215,438320,빅테크
64,KOSEF 글로벌퓨처모빌리티,0.056398411008262705,0.25732133413794095,0.2191750295295356,394350,차세대모빌리티
65,ACE KPOP포커스,-0.040077438978997626,0.34330695879124895,-0.11673937260143652,475050,게임&엔터&스포츠
66,KODEX 차이나2차전지MSCI(합성),-0.14165167563387726,0.3083612174005358,-0.4593692969173987,419430,2차전지(배터리)
67,TIGER 미국방산TOP10,-0.2474076939067863,0.2375041464968055,-1.0416984189794514,494840,방위산업
68,RISE 내수주플러스,-0.02391589879852174,0.18114429567011586,-0.1320267840069073,326230,내수소비
69,ACE 애플밸류체인액티브,0.11827538802666382,0.33509329929847403,0.3529625578138274,483420,빅테크
70,KODEX 글로벌로봇(합성),0.0956456265201282,0.1814743449599789,0.5270476470997663,276990,로보틱스 & AI
71,ACE 글로벌메타버스테크액티브,0.12129759379258509,0.26581465502931517,0.45632395166176176,411050,메타버스
72,KODEX 게임산업,-0.045579631613167804,0.296393346654185,-0.15378088654043756,300950,게임&엔터&스포츠
73,RISE 미국AI테크액티브,4.803283927723136,0.27776274952765423,17.29275770740064,495940,로보틱스 & AI
74,HANARO 글로벌생성형AI액티브,0.6748553110002449,0.2644511794762373,2.5519088715612446,461340,로보틱스 & AI
75,TIGER 미국AI반도체팹리스,0.5154359361620249,0.3079929980341538,1.673531344712153,491830,로보틱스 & AI
76,TIGER 차이나클린에너지SOLACTIVE,-0.12183609795091532,0.2616318143164431,-0.4656776862906849,396510,친환경에너지
77,TIGER 글로벌사이버보안INDXX,0.16764834543929208,0.2778513881909614,0.6033741509474515,418670,사이버보안
78,TIGER 게임TOP10,-0.13879918262529944,0.31268059986515145,-0.4439008454159255,364990,게임&엔터&스포츠
79,TIGER Fn신재생에너지,-0.057912370740414776,0.3017913601727144,-0.1918953899385048,377990,친환경에너지
80,RISE 미국AI밸류체인TOP3Plus,0.4948378302506784,0.39094326258392215,1.2657535699172042,485690,로보틱스 & AI
81,HANARO Fn K-푸드,0.04305806831798242,0.20131228983678218,0.21388693334566203,438900,E커머스
82,TIGER 퓨처모빌리티액티브,-0.09524062066328098,0.2674062982413327,-0.35616446317702977,387280,차세대모빌리티
83,KODEX 테슬라밸류체인FactSet,0.38803296433870127,0.27669192810077325,1.4024007386199455,459560,차세대모빌리티
84,DAISHIN343 AI반도체&인프라액티브,-0.5114021462963687,0.38670654326667436,-1.3224553739803253,486240,로보틱스 & AI
85,KODEX 웹툰&드라마,-0.284145768524809,0.2906294951894646,-0.9776907479386123,395150,게임&엔터&스포츠
86,KODEX S&P글로벌인프라(합성),0.0844605964644971,0.15860217233215093,0.5325311452078751,269420,인프라스트럭처
87,HANARO Fn전기&수소차,-0.08954696923679228,0.23425970485976064,-0.38225510994474915,381560,차세대모빌리티
88,SOL KEDI메가테크액티브,0.15087775963324912,0.2276542631255463,0.6627495464472957,444200,뉴딜
89,KODEX K-미래차액티브,-0.08051706955381899,0.21554789531255564,-0.3735460716842772,385520,차세대모빌리티
90,ACE 미국친환경그린테마INDXX,-0.014662979446674607,0.2675853251638005,-0.05479739756916328,391600,친환경에너지
91,SOL K방산,-0.10160601971436334,0.440552381128262,-0.230633232430043,490480,방위산업
92,ACE 글로벌브랜드TOP10블룸버그,0.29498009394943336,0.1678409700349162,1.7574975519270906,435040,글로벌자산
93,TIGER 미국캐시카우100,0.2945406413813192,0.15014076847894456,1.9617632463538708,465670,글로벌자산
94,HANARO Fn K-게임,-0.22049226177367687,0.31655950348085454,-0.6965270647355947,395280,게임&엔터&스포츠
95,TIGER K게임,-0.03743019882957355,0.3037383343003932,-0.12323172481928334,300610,게임&엔터&스포츠
96,TIGER S&P글로벌인프라(합성),0.0849262178420942,0.14824553951933425,0.5728753668910092,269370,인프라스트럭처
97,VITA MZ소비액티브,-0.0931909187340193,0.22705458097162226,-0.410433994924183,422260,내수소비
98,ACE 원자력테마딥서치,0.15415258605815896,0.277269378229779,0.5559668616936467,433500,친환경에너지
99,PLUS 글로벌방산,-0.5197390998048937,0.22134555411851445,-2.3480891761061136,496770,방위산업
100,ACE 2차전지&친환경차액티브,-0.08113013526371915,0.34808015619864624,-0.23307888662696102,385600,차세대모빌리티
101,KODEX 미국클린에너지나스닥,-0.13548012534749843,0.34710760943316654,-0.3903115969388862,419420,친환경에너지
102,KODEX 미국ETF산업Top10 Indxx,0.2755503732879514,0.1742322422402961,1.5815119506292081,428560,글로벌자산
103,KODEX 코스닥글로벌,0.04050098689612058,0.3262643590731409,0.12413549249196786,461450,코스닥글로벌
104,KoAct 글로벌기후테크인프라액티브,0.7533134785999511,0.3256581837114395,2.3132029725604872,475070,친환경에너지
105,TIMEFOLIO K컬처액티브,-0.00863140133203899,0.2919255135382262,-0.029567135901976415,410870,게임&엔터&스포츠
106,KODEX 미국스마트모빌리티S&P,-0.1379600531525247,0.2747382386846542,-0.5021508975708179,390400,차세대모빌리티
107,ACE 글로벌AI맞춤형반도체,1.1779739162339977,0.3846684726515848,3.0623094950153424,494340,로보틱스 & AI
108,KODEX K-뉴딜디지털플러스,-0.07537222005758326,0.24118858258365425,-0.3125032671537884,368680,뉴딜
109,KOSEF 글로벌전력GRID인프라,0.4852018748043221,0.18121016936525555,2.6775642697310595,489860,인프라스트럭처
110,WON 미국빌리어네어,1.525299538017653,0.20431402800265686,7.465466531734269,489290,글로벌자산
111,SOL 자동차소부장Fn,-0.09887610154477133,0.24201847411602356,-0.4085477437452571,464600,차세대모빌리티
112,HANARO 글로벌워터MSCI(합성),0.15440928743993765,0.15592974058526304,0.9902491138661645,424460,친환경에너지
113,TIMEFOLIO 글로벌소비트렌드액티브,1.8401550272164813,0.22879928545491304,8.04266072578754,494180,내수소비
114,마이다스 일본테크액티브,0.380536646732361,0.21906115365622203,1.7371251834524086,488290,빅테크
115,RISE 차이나항셍테크,-0.08349908897212044,0.35647366171404254,-0.23423634882484548,371150,빅테크
116,에셋플러스 글로벌영에이지액티브,0.2829780743358885,0.14880863263105806,1.901624047829788,451150,내수소비
